ANO;MÊS;DIA;HORA;360MIN;180MIN;CANAL;qtd_ENTs;TMC;TME
2021;6;14;11;Q1;QQ2;PORTAL;4;138,5;1430
2021;6;15;7;Q1;QQ1;PORTAL;2;300;600
2021;6;15;10;Q1;QQ1;PORTAL;1;115;583
2021;6;15;13;Q1;QQ2;PORTAL;3;48,67;1275
2021;6;16;9;Q1;QQ1;PORTAL;4;186,75;558,5
2021;6;16;12;Q1;QQ2;PORTAL;2;103;2814
2021;6;17;11;Q1;QQ2;PORTAL;7;898,29;12512,14
2021;6;18;7;Q1;QQ1;PORTAL;3;206;34472
2021;6;18;10;Q1;QQ1;PORTAL;1;151;13
2021;6;21;7;Q1;QQ1;PORTAL;2;25,5;16954
2021;7;1;23;NULL;NULL;PORTAL;1;39;27776
2021;1;2;14;Q2;QQ3;PORTAL;1;300;600
